id	color
01001	#bc80bd
01003	#b3de69
01005	#fccde5
01007	#8dd3c7
01009	#fccde5
01011	#fccde5
01013	#fccde5
01015	#fccde5
01017	#fb8072
01019	#fccde5
01021	#8dd3c7
01023	#fccde5
01025	#8dd3c7
01027	#fccde5
01029	#fccde5
01031	#fccde5
01033	#fccde5
01035	#bebada
01037	#8dd3c7
01039	#fccde5
01041	#fccde5
01043	#fccde5
01045	#fccde5
01047	#b3de69
01049	#fccde5
01051	#8dd3c7
01053	#bebada
01055	#fccde5
01057	#fccde5
01059	#fccde5
01061	#fccde5
01063	#fb8072
01065	#8dd3c7
01067	#fccde5
01069	#fccde5
01071	#fccde5
01073	#8dd3c7
01075	#ffffb3
01077	#fccde5
01079	#fccde5
01081	#b3de69
01083	#fccde5
01085	#fccde5
01087	#8dd3c7
01089	#bebada
01091	#8dd3c7
01093	#fccde5
01095	#fccde5
01097	#b3de69
01099	#bebada
01101	#8dd3c7
01103	#fccde5
01105	#8dd3c7
01107	#fccde5
01109	#fccde5
01111	#fccde5
01113	#ffffb3
01115	#fccde5
01117	#8dd3c7
01119	#8dd3c7
01121	#fccde5
01123	#8dd3c7
01125	#fccde5
01127	#fccde5
01129	#fccde5
01131	#8dd3c7
01133	#fccde5
02nan	#bc80bd
04001	#8dd3c7
04003	#fb8072
04005	#bc80bd
04007	#8dd3c7
04009	#bebada
04011	#bebada
04012	#bc80bd
04013	#fdb462
04015	#8dd3c7
04017	#bc80bd
04019	#8dd3c7
04021	#8dd3c7
04023	#8dd3c7
04025	#8dd3c7
04027	#bc80bd
05001	#d9d9d9
05003	#bebada
05005	#8dd3c7
05007	#fccde5
05009	#fccde5
05011	#fccde5
05013	#8dd3c7
05015	#fccde5
05017	#d9d9d9
05019	#fccde5
05021	#ffffb3
05023	#fccde5
05025	#fccde5
05027	#fccde5
05029	#fccde5
05031	#bebada
05033	#fccde5
05035	#d9d9d9
05037	#d9d9d9
05039	#80b1d3
05041	#bebada
05043	#ffffb3
05045	#8dd3c7
05047	#fccde5
05049	#8dd3c7
05051	#fccde5
05053	#fccde5
05055	#d9d9d9
05057	#fccde5
05059	#fccde5
05061	#fccde5
05063	#fccde5
05065	#fccde5
05067	#d9d9d9
05069	#d9d9d9
05071	#fccde5
05073	#fccde5
05075	#fccde5
05077	#bebada
05079	#fccde5
05081	#fccde5
05083	#fccde5
05085	#d9d9d9
05087	#fccde5
05089	#fccde5
05091	#fccde5
05093	#bebada
05095	#d9d9d9
05097	#fccde5
05099	#fccde5
05101	#fccde5
05103	#fccde5
05105	#fccde5
05107	#ffffb3
05109	#fccde5
05111	#d9d9d9
